player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,team_id,team_name,region,gamechanger
Annie,O1O,"['jett', 'neon', 'raze']",273,1.01,212.9,1.01,68%,140.6,0.78,0.12,0.18,0.18,35%,20%,13226,Odd 1 OUT,ap,False
Deqadz,RUD,"['omen', 'viper', 'harbor']",358,1.00,200.0,1.00,73%,125.2,0.69,0.42,0.10,0.10,18%,9%,14523,Requiem,ap,False
Wo0t,TH,"['fade', 'iso', 'kayo']",950,1.00,193.1,0.97,75%,126.8,0.67,0.37,0.09,0.09,36%,18%,1001,Team Heretics,ap,False
adora,HERO,"['raze', 'sage', 'jett']",296,1.00,214.0,1.00,66%,146.7,0.74,0.20,0.18,0.17,30%,5%,15749,HEROIC Valkyries,ap,False
globeX,CHCH,"['yoru', 'raze', 'jett']",300,1.00,217.9,1.00,71%,144.4,0.73,0.24,0.19,0.16,17%,10%,14429,Chipi Chapa's,ap,False
T0BA,391,"['cypher', 'killjoy', 'brimstone']",391,1.00,197.2,1.01,69%,136.2,0.69,0.27,0.08,0.09,24%,13%,14523,Requiem,ap,False
Kiles,KPI,"['viper', 'breach', 'fade']",323,0.99,164.3,0.97,77%,111.2,0.60,0.36,0.03,0.04,28%,15%,6313,KPI Gaming,ap,False
ness,GX.GC,"['sova', 'gekko']",236,0.99,183.7,0.93,73%,129.3,0.61,0.33,0.07,0.06,25%,18%,15119,GIANTX GC,ap,False
SEIDER,FKS,"['fade', 'gekko', 'astra']",245,0.99,178.8,1.02,71%,116.5,0.64,0.26,0.09,0.07,38%,6%,6882,FOKUS,ap,False
GrTw,SAW,"['killjoy', 'cypher']",382,0.99,206.5,0.99,72%,136.2,0.70,0.23,0.12,0.08,25%,10%,2755,SAW,ap,False
Masic,GAL,"['jett', 'raze', 'chamber']",629,0.99,192.5,0.96,67%,129.9,0.67,0.25,0.11,0.09,28%,12%,4762,Galakticos,ap,False
Cunha20,SAW,"['omen', 'viper', 'brimstone']",382,0.99,178.4,0.97,73%,119.8,0.66,0.37,0.05,0.05,37%,15%,2755,SAW,ap,False
ip0TT,GAL,"['iso', 'breach', 'kayo']",629,0.98,226.3,1.02,71%,149.1,0.79,0.18,0.17,0.16,30%,11%,4762,Galakticos,ap,False
ZachKappa,CHCH,"['killjoy', 'raze', 'viper']",300,0.98,183.9,1.01,67%,128.9,0.67,0.14,0.07,0.07,36%,4%,14429,Chipi Chapa's,ap,False
H1ber,NOVO,"['kayo', 'breach', 'sova']",416,0.98,198.0,0.93,72%,128.0,0.67,0.39,0.10,0.09,26%,27%,13161,NOVO Esports,ap,False
marteen,KC,"['yoru', 'omen', 'gekko']",208,0.98,198.2,0.97,74%,134.3,0.73,0.19,0.13,0.10,34%,23%,8877,Karmine Corp,ap,False
cNed,FUT,"['raze', 'jett']",255,0.98,218.9,1.01,67%,150.2,0.75,0.14,0.18,0.17,25%,5%,1184,FUT Esports,ap,False
BySmall,HOWL.M,"['sova', 'gekko', 'sage']",240,0.98,182.4,0.91,70%,123.7,0.65,0.26,0.03,0.03,31%,14%,15811,Ketçaplı Ruffles,ap,False
xanarchy,SGE,"['gekko', 'sova', 'skye']",206,0.98,171.2,0.91,73%,113.3,0.62,0.34,0.07,0.04,27%,12%,14478,Eintracht Frankfurt,ap,False
Tempo,SNS,"['cypher', 'viper', 'killjoy']",478,0.98,198.3,1.02,67%,133.3,0.72,0.13,0.10,0.11,30%,14%,14467,SweetNsour,ap,False
Ninou,VLNT,"['sova', 'fade', 'breach']",561,0.98,178.1,0.93,75%,121.2,0.59,0.40,0.05,0.07,17%,15%,14737,VALIANT GC,ap,False
Celasun,PCF,"['killjoy', 'cypher', 'brimstone']",827,0.97,177.9,0.99,71%,122.7,0.65,0.19,0.05,0.06,29%,10%,3478,PCIFIC Espor,ap,False
Docent,KAST,"['omen', 'viper', 'reyna']",221,0.97,191.1,0.94,67%,128.8,0.68,0.31,0.07,0.09,27%,22%,4572,Galatasaray Esports,ap,False
Boo,TH,"['brimstone', 'omen', 'viper']",950,0.97,174.6,0.94,74%,111.7,0.62,0.40,0.08,0.07,30%,15%,1001,Team Heretics,ap,False
Guardy,BAR,"['gekko', 'kayo', 'skye']",499,0.97,181.8,0.88,71%,121.2,0.63,0.38,0.06,0.07,28%,14%,14461,Barça eSports,ap,False
MrFaliN,FUT,"['breach', 'omen', 'sova']",255,0.97,178.8,0.94,71%,116.4,0.61,0.44,0.07,0.09,23%,14%,1184,FUT Esports,ap,False
Harmonee,aTTaX,"['fade', 'sova', 'gekko']",535,0.97,190.1,0.91,68%,130.9,0.64,0.27,0.08,0.10,28%,20%,11496,ALTERNATE aTTaX Ruby,ap,False
Kalkkuna,STR99,"['jett', 'raze']",201,0.97,208.7,1.03,72%,139.4,0.75,0.12,0.17,0.18,27%,13%,12679,apinaorkesteri,ap,False
NeskaaS,VLNT,"['killjoy', 'cypher', 'brimstone']",503,0.97,188.8,0.96,69%,125.1,0.69,0.20,0.11,0.10,27%,24%,10188,VALIANT,ap,False
Snowi,OF,"['breach', 'skye', 'gekko']",218,0.97,176.3,0.84,72%,120.1,0.61,0.49,0.03,0.06,23%,14%,7932,OnlyFins,ap,False
ellie,aTTaX,"['raze', 'jett']",535,0.96,201.2,1.00,67%,134.6,0.74,0.14,0.15,0.19,31%,13%,11496,ALTERNATE aTTaX Ruby,ap,False
Mel,VLNT,"['viper', 'omen', 'brimstone']",561,0.96,178.2,0.92,73%,115.5,0.63,0.44,0.06,0.09,32%,15%,14737,VALIANT GC,ap,False
hype,APK,"['killjoy', 'viper', 'cypher']",599,0.96,188.4,1.00,71%,125.1,0.66,0.24,0.10,0.09,28%,21%,11479,Apeks,ap,False
jademwah,O1O,"['viper', 'sova', 'omen']",459,0.96,201.1,0.96,68%,129.9,0.68,0.37,0.09,0.14,22%,18%,13226,Odd 1 OUT,ap,False
bipo,NOVO,"['neon', 'yoru', 'jett']",416,0.96,207.6,1.02,65%,135.3,0.75,0.19,0.18,0.19,31%,3%,13161,NOVO Esports,ap,False
lurzy0y0,GAL,"['omen', 'breach', 'viper']",629,0.95,183.5,0.93,71%,123.5,0.66,0.25,0.07,0.07,32%,10%,4762,Galakticos,ap,False
